Lot;Date;t;ID;ID_cosm;Dose_EPX;Dose_IMD;Ratio;Line;Nb_rep;No_vdt;w;CiEPX;CiIMD;CeIMD;CeEPX;
E;01/04/2035;0;205;103;4,709;0,0131;G;2;3;1;527,40;;;9,2;3679,7;
D;26/03/2025;0;89;45;2,3545;0,0196;H;2;1;1;554,80;;;12,5;1418,2;
E;01/04/2035;0;236;117;2,3545;0,0196;H;2;3;1;564,20;;;13;2173,8;
D;26/03/2025;0;117;59;0;0,0261;I;2;1;1;380,20;;;22;0;
E;01/04/2035;0;263;131;0;0,0261;I;2;3;1;541,70;;;21,7;3,4;
D;26/03/2025;0;6;3;9,4181;0;E;2;1;2;531,80;;;0,7;6797,2;
E;01/04/2035;0;152;75;9,4181;0;E;2;3;2;491,90;;;0;7021,3;
D;26/03/2025;0;34;17;7,0636;0,0065;F;2;1;2;533,60;;;5,2;5157,2;
E;01/04/2035;0;178;89;7,0636;0,0065;F;2;3;2;591,80;;;5,4;5182;
D;26/03/2025;0;62;31;4,709;0,0131;G;2;1;2;614,70;;;9,6;3519,5;
E;01/04/2035;0;208;103;4,709;0,0131;G;2;3;2;322,40;;;9,2;3679,7;
D;26/03/2025;0;90;45;2,3545;0,0196;H;2;1;2;527,30;;;12,5;1418,2;
E;01/04/2035;0;233;117;2,3545;0,0196;H;2;3;2;653,70;;;13;2173,8;
D;26/03/2025;0;118;59;0;0,0261;I;2;1;2;702,70;;;22;0;
E;01/04/2035;0;262;131;0;0,0261;I;2;3;2;418,70;;;21,7;3,4;
D;23/04/2025;28;141;71;0;0;N;0;1;1;725,80;;;;;
E;29/04/2035;28;288;143;0;0;N;0;3;1;942,60;;;;;
E;29/04/2035;28;162;81;167,4801;0;E;5;3;2;642,70;;;;;
D;23/04/2025;28;5;3;9,4181;0;E;2;1;1;819,00;;;;;
E;29/04/2035;28;149;75;9,4181;0;E;2;3;1;604,50;;;;;
D;23/04/2025;28;33;17;7,0636;0,0065;F;2;1;1;814,70;;;;;
E;29/04/2035;28;179;89;7,0636;0,0065;F;2;3;1;1068,00;;;;;
D;23/04/2025;28;61;31;4,709;0,0131;G;2;1;1;762,60;;;;;
E;29/04/2035;28;205;103;4,709;0,0131;G;2;3;1;738,60;;;;;
D;23/04/2025;28;89;45;2,3545;0,0196;H;2;1;1;663,30;;;;;
E;29/04/2035;28;236;117;2,3545;0,0196;H;2;3;1;778,20;;;;;
D;23/04/2025;28;117;59;0;0,0261;I;2;1;1;829,20;;;;;
E;29/04/2035;28;263;131;0;0,0261;I;2;3;1;857,10;;;;;
D;23/04/2025;28;6;3;9,4181;0;E;2;1;2;863,00;;;;;
E;29/04/2035;28;152;75;9,4181;0;E;2;3;2;648,50;;;;;
